participant.code,subsession.round_number,cash_before_work,cash_before_work_type,work_type,work_profit,work_profit_type,cash_before_health_invest,cash_before_health_invest_type,health_invest_type,health_invest_profit,health_invest_profit_type,cash_before_repay,cash_before_repay_type,repay_type,repay_profit,repay_profit_x,repay_profit_type,cash_before_loan,cash_before_loan_type,loan_type,loan_profit,loan_profit_type,cash_before_invest,cash_before_invest_type,invest_type,invest_profit,invest_profit_type,cash_before_venture,cash_before_venture_type,venture_type,venture_profit,venture_profit_type,cash_before_insurance,cash_before_insurance_type,insurance_type,insurance_profit,insurance_profit_type,cash_before_lottery,cash_before_lottery_type,player.lucky_invest,lottery_type,player.lucky,lottery_profit,lottery_profit_type,cash_before_impact,cash_before_impact_type,impact_type,player.crash_type,impact_profit,impact_profit_type,cash_before_health_impact,cash_before_health_impact_type,health_impact_type,player.health_type,health_impact_profit,health_impact_profit_type,cash_before_preference,cash_before_preference_type,preference_type,preference_profit,preference_profit_type,cash_before_patience,cash_before_patience_type,patience_type,patience_profit,patience_profit_type,player.loss,player.cash,player.total_loans,total,player.treatments,treat5
519slsew,19,-46,0,0,-6,0,-52,0,0,0,1,-52,0,0,0,0,1,-52,0,0,0,1,-52,0,0,0,1,-52,0,0,0,1,-52,0,0,0,1,-52,0,1,1,0,-1,0,-53,0,1,小,-5,0,-58,0,1,小,-15,0,-73,0,6,16,2,-57,0,0,5,2,0,-52,0,0,2,0
8tid5gfd,19,459.75,1,0,30,2,489.75,1,1,-5,0,484.75,1,1,-304.5,-304.5,0,180.25,1,1,108.15,2,288.4,1,1,-14.42,0,273.98,1,1,50,2,323.98,1,1,-32.398,0,291.582,1,1,1,0,-1,0,290.58,1,0,无,0,1,290.58,1,0,无,0,1,290.58,1,4,9,2,299.58,1,0,11.6,2,0,311.18,108.15,276.82,2,0
keqepf0m,19,249.74,1,0,18,2,267.74,1,1,-5,0,262.74,1,1,-97.229,-97.23,0,165.511,1,1,99.31,2,264.821,1,1,-12.5,0,252.321,1,1,0,1,252.321,1,1,-25.2321,0,227.0889,1,1,1,0,-1,0,226.09,1,0,无,0,1,226.09,1,0,无,0,1,226.09,1,2,7.2,2,233.29,1,1,6.8,2,0,240.09,99.31,88.39,2,0
387fhffi,19,99.97,1,0,3,2,102.97,1,1,-5,0,97.97,1,0,0,0,1,97.97,1,0,0,1,97.97,1,1,4.75,2,102.72,1,1,6,2,108.72,1,1,-10.872,0,97.848,1,1,1,0,-1,0,96.85,1,0,无,0,1,96.85,1,0,无,0,1,96.85,1,6,0,1,96.85,1,1,7,2,0,103.85,0,0,2,0
scbb77jn,19,179.27,1,0,27,2,206.27,1,2,-10,0,196.27,1,0,0,0,1,196.27,1,0,0,1,196.27,1,1,15,2,211.27,1,1,15,2,226.27,1,1,-22.627,0,203.643,1,0.5,1,0,-0.5,0,203.14,1,0,无,0,1,203.14,1,3,大,-25,0,178.14,1,6,16,2,194.14,1,1,0,1,0,194.14,0,0,2,0
9t5yap6j,19,128.07,1,0,27,2,155.07,1,1,-5,0,150.07,1,0,0,0,1,150.07,1,0,0,1,150.07,1,1,0.15,2,150.22,1,1,2,2,152.22,1,1,-15.222,0,136.998,1,0.01,1,0,-0.01,0,136.99,1,0,无,0,1,136.99,1,0,无,0,1,136.99,1,2,7.2,2,144.19,1,1,6.2,2,0,150.39,0,0,2,0
g91ye1x3,19,77.78,1,0,27,2,104.78,1,2,-10,0,94.78,1,0,0,0,1,94.78,1,0,0,1,94.78,1,1,1,2,95.78,1,1,10,2,105.78,1,1,-10.578,0,95.202,1,1,1,0,-1,0,94.2,1,0,无,0,1,94.2,1,2,中,-15,0,79.2,1,3,7.5,2,86.7,1,1,6.6,2,0,93.3,0,0,2,0
fkw475f4,19,31.39,1,0,-30,0,1.39,1,0,0,1,1.39,1,0,0,0,1,1.39,1,0,0,1,1.39,1,0,0,1,1.39,1,0,0,1,1.39,1,1,-0.139,0,1.251,1,0,0,0,0,1,1.25,1,0,无,0,1,1.25,1,1,小,-15,0,-13.75,0,6,16,2,2.25,1,1,5.4,2,1,7.65,6.6,6,2,0
t7uhl32a,19,-129.48,0,0,-30,0,-159.48,0,0,0,1,-159.48,0,0,0,0,1,-159.48,0,0,0,1,-159.48,0,0,0,1,-159.48,0,0,0,1,-159.48,0,0,0,1,-159.48,0,1,1,0,-1,0,-160.48,0,1,小,-5,0,-165.48,0,1,小,-15,0,-180.48,0,2,7.2,2,-173.28,0,1,6.8,2,1,-166.48,0,0,2,0
1gpsk1od,19,554.6,1,0,-30,0,524.6,1,2,-10,0,514.6,1,0,0,0,1,514.6,1,0,0,1,514.6,1,1,-25.73,0,488.87,1,1,68.87,2,557.74,1,1,-55.774,0,501.966,1,0.97,1,0,-0.97,0,501,1,0,无,0,1,501,1,2,中,-15,0,486,1,6,16,2,502,1,1,5.8,2,1,507.8,0,0,2,0
