code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit
519slsew,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,0,0,5,-10,-31,-21
8tid5gfd,15,0,30,1,-5,0,0,0,0,1,65.05,1,150,1,-64.87,1,-1,0,0,1,-7,4,6,0,193.8,408.65,588.43,179.78
keqepf0m,15,0,27,1,-5,1,-61.93,1,67.79,1,15,1,0,1,-19.578,1,-1,0,0,0,0,2,4.8,0,67.79,152.92,180,27.08
387fhffi,15,0,12,1,-5,0,0,0,0,1,-4,1,5,1,-8.658,1,-1,0,0,1,-7,4,6,1,6,78.58,81.92,3.34
scbb77jn,15,0,24,2,-10,0,0,0,0,1,7.5,1,15,1,-15.537,1,-0.5,0,0,0,0,6,0,0,12,118.87,151.33,32.46
9t5yap6j,15,0,27,1,-5,0,0,0,0,1,0.45,1,3,1,-14.275,1,-0.01,0,0,0,0,2,4.8,0,11.6,117.3,144.87,27.57
g91ye1x3,15,0,24,2,-10,1,-48.07,0,0,1,0.25,1,-5,1,-4.852,1,-1,0,0,2,-15,4,6,1,0,87.34,33.67,-53.67
fkw475f4,15,0,21,1,-5,1,-0.94,0,0,1,0.15,1,0,1,-4.115,1,-0.5,0,0,2,-21,2,4.8,0,11.3,25.94,26.14,0.2
t7uhl32a,15,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,4.8,1,6,-56.88,-61.08,-4.2
1gpsk1od,15,0,27,2,-10,0,0,0,0,1,-18.2,1,45.77,1,-39.154,1,-0.39,0,0,2,-15,6,8,1,0,346.97,345,-1.97
6l4hmpzv,15,0,18,1,-5,1,-100,0,0,1,20,1,50,1,-30.876,1,-1,0,0,1,-7,4,6,0,98.99,325.76,282.48,-43.28
4c16txm9,15,0,6,1,-5,1,-20.02,1,12,1,-1,1,6,1,-6.501,0,0,0,0,3,-35,5,0.8,0,12,67.03,24.31,-42.72
4de7ayta,15,0,6,1,-5,1,-24.76,1,21.51,1,10,1,15,1,-15.407,1,-1,0,0,0,0,6,0,0,27.91,131.32,144.06,12.74
o7pqerl1,15,0,27,2,-10,0,0,0,0,1,6,1,0,1,-10.843,1,-1,0,0,2,-15,6,0,1,5.6,85.43,87.19,1.76
7voc4ywi,15,0,24,2,-10,0,0,0,0,1,1.2,1,-7.6,1,-5.76,1,-0.84,0,0,0,0,2,1.6,0,11.6,50,64.2,14.2
4qo41x6y,15,0,6,1,-5,0,0,1,20.74,1,5.5,1,-55,1,-0.58,1,-1,0,0,0,0,5,6.4,0,27.34,33.56,17.22,-16.34
g004gng8,15,0,21,1,-5,1,-7.4,0,0,1,0.5,1,-10,1,-7.858,1,-1,0,0,0,0,5,6.4,1,6.6,79.48,82.72,3.24
ttjy4cwz,16,0,9,1,-5,0,0,0,0,1,3,1,-27.75,0,0,1,-1,1,-5,1,-7,2,12,0,5,20.75,4,-16.75
idr031u6,16,0,21,2,-10,0,0,0,0,1,3,1,0,1,-15.304,1,-1,0,0,1,-5,3,3.5,1,6.4,139.04,141.64,2.6
s1ftoyto,16,0,15,1,-5,0,0,0,0,1,1.5,1,-10,1,-4.946,1,-1,0,0,1,-7,4,15,1,5.8,47.96,57.31,9.35
519slsew,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,20,0,5,-31,-16,15
8tid5gfd,16,0,24,1,-5,0,0,1,34.99,1,96.36,1,150,1,-88.878,1,-1,0,0,1,-7,4,3,0,252.51,588.43,806.5,218.07
keqepf0m,16,0,21,1,-5,1,-74.569,1,72.86,1,24,1,-10,1,-20.8291,1,-1,0,0,1,-7,2,12,0,79.46,180,198.06,18.06
387fhffi,16,0,24,1,-5,0,0,0,0,1,4.75,1,-2.5,1,-10.317,1,-1,0,0,3,-35,2,4,1,6.8,81.92,67.65,-14.27
scbb77jn,16,0,30,2,-10,0,0,0,0,1,-2.5,1,5,1,-17.383,1,-0.5,0,0,1,-5,6,20,0,5,151.33,175.95,24.62
9t5yap6j,16,0,18,1,-5,0,0,0,0,1,0.15,1,2,1,-16.002,1,-0.01,0,0,3,-35,2,12,1,0,144.87,121.01,-23.86
g91ye1x3,16,0,24,2,-10,0,0,0,0,1,-0.15,1,2,1,-4.952,1,-1,0,0,1,-5,3,3.5,0,11.8,33.67,53.87,20.2
fkw475f4,16,0,12,1,-5,1,-0.05,0,0,1,0.1,1,3.29,1,-3.648,1,-0.01,0,0,0,0,5,2,0,12.4,26.14,41.22,15.08
t7uhl32a,16,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,4,1,6.8,-61.08,-87.28,-26.2
1gpsk1od,16,0,24,2,-10,0,0,0,0,1,35.9,1,-90,1,-30.49,1,-0.4,0,0,0,0,6,20,0,11.4,345,305.41,-39.59
6l4hmpzv,16,0,-30,1,-5,0,0,0,0,1,37.05,1,0,1,-28.453,1,-1,0,0,0,0,6,20,0,108.63,282.48,282.08,-0.4
4c16txm9,16,0,24,2,-10,1,-13.2,1,3.01,1,0.4,1,6,1,-3.452,0,0,0,0,0,0,5,16,1,9.41,24.31,53.47,29.16
4de7ayta,16,0,9,1,-5,1,-23.66,1,12.44,1,10,1,0,1,-14.684,1,-1,0,0,1,-7,6,0,0,17.84,144.06,129.56,-14.5
o7pqerl1,16,0,30,2,-10,0,0,1,64.31,1,24,1,-10,1,-18.55,1,-1,0,0,2,-15,6,20,0,69.91,87.19,176.55,89.36
7voc4ywi,16,0,12,2,-10,0,0,0,0,1,3.93,1,15.2,1,-8.533,1,-0.8,0,0,1,-5,2,4,1,0,64.2,75,10.8
4qo41x6y,16,0,0,0,0,0,0,0,0,1,-0.5,1,1,1,-1.772,1,-1,0,0,1,-15,6,20,0,28.01,17.22,25.15,7.93
g004gng8,16,0,15,1,-5,0,0,0,0,1,1.2,1,-10,1,-8.392,1,-1,0,0,0,0,4,3,1,5.2,82.72,82.73,0.01
ttjy4cwz,17,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,2,3.2,0,5,4,-37.8,-41.8
idr031u6,17,0,30,2,-10,0,0,0,0,1,4.5,1,-3,1,-16.314,1,-1,0,0,1,-5,3,10,1,6.6,141.64,157.43,15.79
s1ftoyto,17,0,12,1,-5,0,0,0,0,1,0.43,1,2.37,1,-6.711,1,-1,0,0,0,0,6,16,1,6.4,57.31,81.8,24.49
519slsew,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,0,0,5,-16,-29,-13
8tid5gfd,17,0,-30,1,-5,0,0,1,38.9,1,121.56,1,-75,1,-85.696,1,-1,0,0,1,-7,4,2.4,0,308.9,806.5,770.66,-35.84
keqepf0m,17,0,27,1,-5,1,-80.146,1,83.95,1,20,1,0,1,-24.3864,1,-1,0,0,1,-7,2,3.2,0,89.95,198.06,220.67,22.61
387fhffi,17,0,18,1,-5,0,0,0,0,1,-4,1,5,1,-8.165,1,-1,0,0,0,0,4,2.4,1,6.8,67.65,81.69,14.04
scbb77jn,17,0,30,2,-10,0,0,0,0,1,10,1,15,1,-22.095,1,-0.5,0,0,3,-25,6,0,1,0,175.95,173.36,-2.59
9t5yap6j,17,0,18,1,-5,0,0,0,0,1,0.45,1,1,1,-13.546,1,-0.01,0,0,2,-21,2,9.6,0,11.8,121.01,122.3,1.29
g91ye1x3,17,0,18,2,-10,0,0,0,0,1,1.5,1,0,1,-6.337,1,-1,0,0,2,-15,4,12,1,0,53.87,53.03,-0.84
fkw475f4,17,0,9,1,-5,1,-0.6,0,0,1,0.06,1,5,1,-4.968,1,-0.01,0,0,1,-7,6,16,0,11.6,41.22,59.3,18.08
t7uhl32a,17,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,9.6,1,5.6,-87.28,-87.08,0.2
1gpsk1od,17,0,24,2,-10,0,0,0,0,1,47.91,1,100.98,1,-46.83,1,-0.47,0,0,1,-5,6,16,1,0,305.41,432,126.59
6l4hmpzv,17,1,15,1,-5,1,-11,1,7.38,1,30,1,25,1,-34.346,0,0,0,0,1,-7,6,16,0,114.57,282.08,324.51,42.43
4c16txm9,17,0,12,2,-10,1,-3.31,1,15.65,1,2.2,1,-8,1,-6.201,0,0,0,0,1,-5,5,12.8,0,27.05,53.47,75.01,21.54
4de7ayta,17,0,6,1,-5,1,-13.68,1,11.69,1,-5,1,-7.5,1,-11.607,1,-1,0,0,1,-7,6,0,0,18.29,129.56,103.06,-26.5
o7pqerl1,17,0,24,2,-10,1,-70.74,1,71.89,1,28.75,1,0,1,-22.045,1,-1,0,0,1,-5,6,0,0,77.89,176.55,198.41,21.86
7voc4ywi,17,0,9,2,-10,0,0,0,0,1,3.6,1,-8.8,1,-6.88,1,-0.92,0,0,1,-5,2,9.6,0,11.2,75,76.8,1.8
4qo41x6y,17,0,12,1,-5,0,0,0,0,1,2,1,2,1,-3.615,1,-1,0,0,0,0,5,1.6,0,30.89,25.15,38.94,13.79
g004gng8,17,0,27,1,-5,0,0,1,10.47,1,2.25,1,7.5,1,-12.495,1,-1,0,0,1,-7,4,2.4,0,16.27,82.73,112.66,29.93
ttjy4cwz,18,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,14.4,0,5,-37.8,-21.4,16.4
idr031u6,18,0,27,2,-10,0,0,0,0,1,-1.5,1,3,1,-17.593,1,-1,0,0,1,-5,3,15,1,6.4,157.43,173.74,16.31
s1ftoyto,18,0,0,1,-5,0,0,0,0,1,0.5,1,10.95,1,-8.825,1,-1,0,0,2,-21,6,0,1,6.4,81.8,63.83,-17.97
519slsew,18,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,6,24,0,5,-29,-46,-17
8tid5gfd,18,1,30,1,-5,1,-334.29,1,276.82,1,-36.91,1,-170,1,-53.128,1,-1,0,0,2,-21,4,3.6,0,276.82,770.66,459.75,-310.91
keqepf0m,18,0,24,1,-5,1,-92.345,1,88.39,1,20,1,0,1,-25.5715,1,-1,0,0,0,0,2,14.4,0,94.59,220.67,249.74,29.07
387fhffi,18,0,15,1,-5,0,0,0,0,1,-4.5,1,5,1,-9.219,1,-1,0,0,1,-7,5,19.2,1,5.8,81.69,99.97,18.28
scbb77jn,18,0,27,2,-10,0,0,0,0,1,10,1,-7.5,1,-19.286,1,-0.5,0,0,1,-5,6,0,0,11.2,173.36,179.27,5.91
9t5yap6j,18,0,27,1,-5,0,0,0,0,1,0.45,1,0,1,-14.475,1,-0.01,0,0,1,-7,2,4.8,1,0,122.3,128.07,5.77
g91ye1x3,18,0,21,2,-10,0,0,0,0,1,1.5,1,0,1,-6.553,1,-1,0,0,1,-5,4,18,1,6.8,53.03,77.78,24.75
fkw475f4,18,0,0,2,-10,1,-0.6,0,0,1,0.07,1,-5,1,-4.377,0,0,0,0,2,-15,6,0,0,13,59.3,31.39,-27.91
t7uhl32a,18,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,2,4.8,1,6.8,-87.08,-129.48,-42.4
1gpsk1od,18,0,27,2,-10,0,0,0,0,1,44.9,1,90,1,-58.39,1,-0.51,0,0,0,0,6,24,1,5.6,432,554.6,122.6
6l4hmpzv,18,0,18,2,-10,1,-100,1,109.12,1,51,1,-100,1,-29.263,1,-1,0,0,1,-5,6,0,0,134.71,324.51,263.97,-60.54
4c16txm9,18,0,27,2,-10,1,-17.2,1,31.41,1,1.6,1,-5,1,-10.282,0,0,0,0,1,-5,5,2.4,0,36.43,75.01,94.94,19.93
4de7ayta,18,0,6,1,-5,1,-12.859,1,18.24,1,9,1,0,1,-11.8441,1,-1,0,0,0,0,6,0,0,24.64,103.06,112,8.94
o7pqerl1,18,0,30,2,-10,0,0,1,4.52,1,-11.15,1,10,1,-22.178,1,-1,0,0,0,0,6,0,0,89.4,198.41,204.4,5.99
7voc4ywi,18,0,6,2,-10,0,0,0,0,1,1.14,1,7.97,1,-8.191,1,-0.72,0,0,1,-5,3,4.2,1,0,76.8,72.2,-4.6
4qo41x6y,18,0,-6,1,-5,0,0,0,0,1,-1,0,0,1,-2.694,1,-1,0,0,2,-21,5,19.2,0,34.4,38.94,28.25,-10.69
g004gng8,18,0,18,1,-5,1,-11.517,0,0,1,0.5,1,-5,1,-10.9643,1,-1,0,0,1,-7,5,19.2,1,6.4,112.66,116.28,3.62
ttjy4cwz,19,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,2,7.2,0,5,-21.4,-10.2,11.2
idr031u6,19,0,24,2,-10,0,0,0,0,1,-1.5,1,0,1,-18.624,1,-1,0,0,1,-5,4,1.8,1,5.8,173.74,169.22,-4.52
s1ftoyto,19,0,-30,2,-10,0,0,0,0,1,1.5,1,0,1,-2.533,1,-1,0,0,2,-15,1,2.7,1,5.4,63.83,14.9,-48.93
519slsew,19,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,16,0,5,-46,-52,-6
8tid5gfd,19,0,30,1,-5,1,-304.5,1,108.15,1,-14.42,1,50,1,-32.398,1,-1,0,0,0,0,4,9,0,119.75,459.75,311.18,-148.57
keqepf0m,19,0,18,1,-5,1,-97.229,1,99.31,1,-12.5,1,0,1,-25.2321,1,-1,0,0,0,0,2,7.2,0,106.11,249.74,240.09,-9.65
387fhffi,19,0,3,1,-5,0,0,0,0,1,4.75,1,6,1,-10.872,1,-1,0,0,0,0,6,0,1,7,99.97,103.85,3.88
scbb77jn,19,0,27,2,-10,0,0,0,0,1,15,1,15,1,-22.627,1,-0.5,0,0,3,-25,6,16,1,0,179.27,194.14,14.87
9t5yap6j,19,0,27,1,-5,0,0,0,0,1,0.15,1,2,1,-15.222,1,-0.01,0,0,0,0,2,7.2,1,6.2,128.07,150.39,22.32
g91ye1x3,19,0,27,2,-10,0,0,0,0,1,1,1,10,1,-10.578,1,-1,0,0,2,-15,3,7.5,1,6.6,77.78,93.3,15.52
fkw475f4,19,0,-30,0,0,0,0,0,0,0,0,0,0,1,-0.139,0,0,0,0,1,-15,6,16,0,12,31.39,7.65,-23.74
t7uhl32a,19,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,7.2,1,6.8,-129.48,-166.48,-37
1gpsk1od,19,0,-30,2,-10,0,0,0,0,1,-25.73,1,68.87,1,-55.774,1,-0.97,0,0,2,-15,6,16,1,5.8,554.6,507.8,-46.8
6l4hmpzv,19,0,21,2,-10,1,-140,1,79.51,1,20,1,-100,1,-13.448,1,-1,0,0,0,0,6,16,0,85.83,263.97,141.43,-122.54
4c16txm9,19,0,-30,2,-10,1,-34.57,1,2.44,1,1.2,0,0,1,-2.401,1,-1,0,0,1,-5,5,1.2,1,7.44,94.94,21.81,-73.13
4de7ayta,19,0,12,1,-5,1,-20.06,1,9.89,1,4.5,1,0,1,-11.333,1,-1,0,0,3,-35,6,0,0,16.69,112,72.8,-39.2
o7pqerl1,19,0,24,2,-10,0,0,0,0,1,32.76,1,-20,1,-23.116,1,-1,0,0,3,-25,6,0,0,98.76,204.4,188.84,-15.56
